region,artist_name,title,permalink,machine_clusters
Europe,Ryan Gander,You see with no lights,https://kadist.org/work/you-see-with-no-lights/,"Arts,Design,Technology"
Europe,Charlotte Moth,The Absent Forms,https://kadist.org/work/the-absent-forms/,"Materiality,Arts,Mind"
Europe,Douglas Gordon,Blind Spencer (Mirror),https://kadist.org/work/blind-spencer-mirror/,"Mass media,Culture,Body"
Europe,Tacita Dean,Baobab,https://kadist.org/work/baobab/,"Arts,Land,Mass media"
Europe,Joachim Koester,Tarantism,https://kadist.org/work/tarantism/,"Arts,Mind,History"
Europe,Matthew Darbyshire,Untitled: Furniture Island No. 3,https://kadist.org/work/untitled-furniture-island-no-3/,"Arts,Land,Materiality"
Europe,Tino Sehgal,This exhibition,https://kadist.org/work/this-exhibition/,"Violence,Body,Immaterial"
Middle East & Africa,Guy Ben-Ner,Wild Boy,https://kadist.org/work/wild-boy/,"Mind,Culture,Inequality"
Asia,Vivek Vilasini,Housing Dreams Walls,https://kadist.org/work/housing-dreams-walls/,"Community,Urbanization,Design"
Middle East & Africa,Meschac Gaba,Hubert Maga (perruque MAVA-musée d'art de la vie active),https://kadist.org/work/untitled-29/,"Arts,Land,Technology"
Europe,Haris Epaminonda,Tarahi V,https://kadist.org/work/tarahi-v/,"Land,Urbanization,Technology"
Europe,Haris Epaminonda,Tarahi VI,https://kadist.org/work/tarahi-vi/,"Land,Urbanization,Technology"
Asia,Meiro Koizumi,Inder Kommen Sie / It’s a Comedy,https://kadist.org/work/inder-kommen-sie-its-a-comedy/,"Land,War,Fantasy"
Europe,Willie Doherty,Out of the Shadows II,https://kadist.org/work/out-of-the-shadows-ii/,"War,Violence,Technology"
Europe,Michael Landy,H.2.N.Y Skeleton of the Dump,https://kadist.org/work/h-2-n-y-skeleton-of-the-dump/,"Arts,Technology,History"
Europe,Francis Alÿs,The Nightwatch,https://kadist.org/work/the-nightwatch/,"Arts,History,Technology"
Europe,Evariste Richer,Cumulonimbus capillatus incus,https://kadist.org/work/cumulonimbus-capillatus-incus/,"Identity,Mind,Spirituality"
Europe,Eric Dizambourg,Le mouton noir,https://kadist.org/work/le-mouton-noir/,"Fantasy,Mind,Spirituality"
Europe,Eric Dizambourg,Greffe sur patte,https://kadist.org/work/greffe-sur-patte/,"Arts,Land"
Americas,Jason Dodge,Above the Weather,https://kadist.org/work/above-the-weather/,"Arts,Language,Culture"
Europe,Simon Starling,Nachbau,https://kadist.org/work/nachbau/,"Arts,Politics,Economy"
Americas,Natasha Wheat,"Be Oblivion, in Disconnect",https://kadist.org/work/be-oblivion-in-disconnect/,"Arts,Language,Physics"
Americas,Hank Willis Thomas,I am the Greatest,https://kadist.org/work/i-am-the-greatest/,Environmental
Americas,Jeffry Mitchell,The Carpenter,https://kadist.org/work/the-carpenter/,
Americas,Jeffry Mitchell,Man and Pet,https://kadist.org/work/man-and-pet/,"Arts,Economy,Mass media"
Americas,Jason Meadows,Do Not Pass Go,https://kadist.org/work/do-not-pass-go/,"Fantasy,Spirituality,Economy"
Americas,Colter Jacobsen,Untitled (Untitled Passport II),https://kadist.org/work/untitled-untitled-passport-ii/,"Arts,Mass media,Technology"
