region,artist_name,title,permalink,machine_clusters
Middle East & Africa,Akram Zaatari,"Anonymous, Studio Sherhazade",https://kadist.org/work/anonymous-studio-sherhazade/,"Culture,History,Identity"
Europe,Pavel Wolberg,Hebron,https://kadist.org/work/hebron/,"Land,Urbanization,Violence"
Americas,Kelley Walker,Black Star Press,https://kadist.org/work/black-star-press/,"Violence,Activism,Culture"
Americas,Colectivo Tercerunquinto,BF15+ pared,https://kadist.org/work/bf15-pared/,"War,Geopolitics,Design"
Europe,Christiane Baumgartner,Formation I + II,https://kadist.org/work/formation-i-ii/,"War,History,Environmental"
Europe,Michel Auder,The Town,https://kadist.org/work/the-town/,"Urbanization,Mind,Time"
Europe,Michel Auder,Talking Head,https://kadist.org/work/talking-head/,"Mind,Media,Community"
Middle East & Africa,Yto Barrada,Bus Logos,https://kadist.org/work/bus-logos/,"Economy,Geopolitics,Design"
Europe,Jochen Lempert,Un voyage en Mer du Nord ( A trip to the North Sea),https://kadist.org/work/un-voyage-en-mer-du-nord-a-trip-to-the-north-sea/,"Time,Immaterial,Physics"
Europe,Bruno Serralongue,"Mr Joe Shrigley Jr, président de la nation Navajo",https://kadist.org/work/mr-joe-shrigley-jr-president-de-la-nation-navajo/,Community
Europe,Peter Friedl,"Map, 1969-2005",https://kadist.org/work/map-1969-2005/,"Culture,Mind,Fantasy"
Europe,Peter Friedl,New Kurdish Flag,https://kadist.org/work/new-kurdish-flag/,"Land,Activism,Immaterial"
Europe,Guillaume Leblon,Puits,https://kadist.org/work/puits/,"Economy,Materiality,Design"
Americas,Allen Ruppersberg,Untitled (City Limits),https://kadist.org/work/untitled-city-limits/,"Urbanization,Land,Community"
Americas,Alexis Smith,8 Ball Surfboard,https://kadist.org/work/8-ball-surfboard/,"Land,Media,Urbanization"
Europe,Raphaël Zarka,Les formes du repos #3,https://kadist.org/work/les-formes-du-repos-3/,"Land,Urbanization,Space"
Middle East & Africa,Akram Zaatari,A girl and her brother. Studio Sherazade. 1960s,https://kadist.org/work/a-girl-and-her-brother-studio-sherazade-1960s/,"Familial,Identity,Activism"
Middle East & Africa,Akram Zaatari,Bashasha (left) and a friend. Studio Sherhazade,https://kadist.org/work/bashasha-left-and-a-friend-studio-sherhazade/,"History,Culture,Identity"
Americas,Fabiola Torres-Alzaga,"Adaptando la Carta #1, #2, #3, #4, #5",https://kadist.org/work/adaptando-la-carta-1-2-3-4-5/,"Materiality,Spirituality,Media"
Americas,Petra Cortright,Sickhands,https://kadist.org/work/sickhands/,"Materiality,Spirituality,Economy"
Americas,Petra Cortright,SpringValle_ber_girls,https://kadist.org/work/springvalle_ber_girls/,"Media,Time,Emotion"
Americas,John Houck,"Stamp -X, Stamp -Y",https://kadist.org/work/stamp-x-stamp-y/,"Familial,Body,Time"
Asia,Xu Tan,"Biennale, Dog",https://kadist.org/work/biennale-dog/,"Economy,Design,Technology"
Asia,Xu Tan,Shanghai Biennale Awaiting Your Arrival,https://kadist.org/work/shanghai-biennale-awaiting-your-arrival/,"Economy,Media,Design"
Middle East & Africa,Shahzia Sikander,The Last Post,https://kadist.org/work/the-last-post/,"Economy,Power,Design"
Asia,Chen Shaoxiong,Ink Diary,https://kadist.org/work/ink-diary/,"Time,Land,Mind"
Asia,Jiang Pengyi,Unregistered City series #1 #2 #7,https://kadist.org/work/unregistered-city-series-1-2-7/,"Fantasy,Urbanization,Land"
Asia,Zhang Peili,A Gust of Wind,https://kadist.org/work/a-gust-of-wind/,"Spirituality,Colonization,Environmental"
Unspecified,Ho Tzu Nyen,The Cloud of Unknowing,https://kadist.org/work/the-cloud-of-unknowing/,"Politics,Power,Environmental"
Europe,Eric Baudelaire,"The Anabasis of May and Fusako Shigenobu, Masao Adachi, and 27 Years without Images.",https://kadist.org/work/the-anabasis-of-may-and-fusako-shigenobu-masao-adachi-and-27-years-without-images/,"Mind,Activism,Immaterial"
Europe,Charles Avery,"Untitled (Waiters dancing with Itinerants, Onomatopoeia)",https://kadist.org/work/untitled-waiters-dancing-with-itinerants-onomatopoeia/,"Materiality,Activism,War"
Americas,LaToya Ruby Frazier,Campaign for Braddock Hospital,https://kadist.org/work/campaign-for-braddock-hospital/,"Power,Environmental,Urbanization"
Europe,Goshka Macuga,Anti-Collage (Anda Rottenberg),https://kadist.org/work/anti-collage-anda-rottenberg/,"Politics,Inequality,Land"
Americas,Tony Oursler,Absentia,https://kadist.org/work/absentia/,"Technology,Fantasy,Culture"
Unspecified,Claudia Joskowicz,Drawn and Quartered,https://kadist.org/work/drawn-and-quartered/,"Media,Time,Violence"
Unspecified,Claudia Joskowicz,Vallegrande 1967,https://kadist.org/work/vallegrande-1967/,"Geopolitics,Time,Body"
Unspecified,Nicolás Paris,Metaphors of the presence or conversations at the speed of light,https://kadist.org/work/metaphors-of-the-presence-or-conversations-at-the-speed-of-light/,"Design,Physics,Mind"
Unspecified,Erick Beltran,The Individual Is a Mirage,https://kadist.org/work/the-individual-is-a-mirage/,"Identity,Fantasy,Spirituality"
Americas,Pablo Rasgado,Avenida Corona del Rosal,https://kadist.org/work/avenida-corona-del-rosal/,"Environmental,Power,Urbanization"
Asia,Adrian Wong,Untitled (Grate I/II: Shan Mei Playground/ Grand Fortune Mansion),https://kadist.org/work/untitled-grate-iii-shan-mei-playground-grand-fortune-mansion/,"Time,History,Language"
Asia,Sriwhana Spong,Beach Study,https://kadist.org/work/beach-study/,"Time,Mind,Culture"
Asia,Takahiro Iwasaki,Tectonic Model,https://kadist.org/work/tectonic-model/,"Media,Technology,Mind"
Asia,Takahiro Iwasaki,Edinburgh Castle on the Bin Bag,https://kadist.org/work/edinburgh-castle-on-the-bin-bag/,"Time,Body,Environmental"
Americas,Juan Capistran,White Minority,https://kadist.org/work/white-minority/,"Language,Identity,Culture"
Americas,Juan Capistran,The Breaks,https://kadist.org/work/the-breaks/,"Culture,Familial,Environmental"
Americas,Jedediah Caesar,JCA-25-SC,https://kadist.org/work/jca-25-sc/,Design
Americas,Luke Butler,Captain X,https://kadist.org/work/captain-x/,"Fantasy,Power,Culture"
Americas,Jennifer Bornstein,Collectors’ Favorites,https://kadist.org/work/collectors-favorites/,"Economy,Time,Values"
Americas,Walead Beshty,"Black Curl (CMY/Five Magnet: Irvine, California, March 25, 2010, Fujicolor Cyrstal Archive Super Type C, EM No 165-021, 05910)",https://kadist.org/work/black-curl-cmyfive-magnet-irvine-california-march-25-2010-fujicolor-cyrstal-archive-super-type-c-em-no-165-021-05910/,"Materiality,Land,Identity"
Americas,Wallace Berman,Untitled (Shuffle),https://kadist.org/work/untitled-shuffle/,"Design,Media,Spirituality"
Americas,David Berezin,Are You Lonely Mr. Claus?,https://kadist.org/work/are-you-lonely-mr-claus/,"Mind,Fantasy,Spirituality"
Americas,David Berezin,Eric Goes to Jail,https://kadist.org/work/eric-goes-jail/,"Fantasy,Mind,Culture"
Europe,Arseniy Zhilyaev,"Time Is Working on Kommunism, 2010",https://kadist.org/work/time-is-working-on-kommunism-2010/,"History,Culture,Economy"
Europe,Bernard Piffaretti,Untitled,https://kadist.org/work/no-title/,"Time,Mind,Inequality"
Europe,Adrien Missika,Botanical Frottage (Lauren),https://kadist.org/work/botanical-frottage-lauren/,"Technology,Space,Language"
Europe,Pablo Pijnappel,Felicitas,https://kadist.org/work/felicitas/,"Media,Fantasy,Language"
Europe,Jonathan Monk,Untitled (Rolled up),https://kadist.org/work/untitled-rolled-up/,"Materiality,Identity,Familial"
Europe,Dora Garcia,What a fucking wonderful audience,https://kadist.org/work/what-a-fucking-wonderful-audience/,"Culture,Language,Economy"
Europe,Lars Laumann,Berlinmuren,https://kadist.org/work/berlinmuren/,"Mind,Urbanization,Media"
Middle East & Africa,Omer Fast,A Tank Translated,https://kadist.org/work/a-tank-translated/,"Emotion,Land,Urbanization"
Europe,Maaike Schoorel,The Garden,https://kadist.org/work/the-garden/,"Time,History,Immaterial"
Europe,Dominique Petitgand,Le bout de la langue,https://kadist.org/work/le-bout-de-la-langue/,"Culture,Time,Mind"
Americas,Miguel Angel Rojas,Medellín-New York,https://kadist.org/work/medellin-new-york/,"Economy,Language,Inequality"
Americas,Valeska Soares,La Ligne du Temps,https://kadist.org/work/la-ligne-du-temps/,"Time,Mind,Body"
Europe,Jonathan Monk,Something contained removed,https://kadist.org/work/something-contained-removed/,"Technology,Media,Emotion"
Americas,Jonathan Monk,Happy Birthday,https://kadist.org/work/happy-birthday/,"Technology,Media,Materiality"
Americas,Daria Martin,Soft Materials,https://kadist.org/work/soft-materials/,"Power,Technology,Identity"
Europe,Julius Koller,Anti-Happening,https://kadist.org/work/anti-happening/,"Time,Mind,Spirituality"
Asia,Young-Hae Chang Heavy Industries,PACIFIC LIMN,https://kadist.org/work/pacific-limn/,"Language,Fantasy,Mind"
Unspecified,Apichatpong Weerasethakul,Haunted Houses,https://kadist.org/work/haunted-houses/,"Media,Spirituality,Mind"
